sequence.identifier,background.identifier,vehicle1.identifier,vehicle1.trajectory,vehicle1.appearance_change,vehicle1.shadowed,vehicle1.dust,vehicle2.identifier,vehicle2.trajectory,vehicle2.appearance_change,vehicle2.shadowed,vehicle2.dust,vehicle3.identifier,vehicle3.trajectory,vehicle3.appearance_change,vehicle3.shadowed,vehicle3.dust,vehicle4.identifier,vehicle4.trajectory,vehicle4.appearance_change,vehicle4.shadowed,vehicle4.dust,vehicle5.identifier,vehicle5.trajectory,vehicle5.appearance_change,vehicle5.shadowed,vehicle5.dust,man1.identifier,man1.trajectory,man1.appearance_change,man1.shadowed,man2.identifier,man2.trajectory,man2.appearance_change,man2.shadowed,man3.identifier,man3.trajectory,man3.appearance_change,man3.shadowed,man4.identifier,man4.trajectory,man4.appearance_change,man4.shadowed,man5.identifier,man5.trajectory,man5.appearance_change,man5.shadowed,distractors.butterfly_level,distractors.bird_level,distractors.far_moving_vegetation,distractors.close_moving_vegetation,distractors.light_reflexion,distractors.blinking_light,occultants.solid_level,occultants.semi_transparent_level,camera.vibration,camera.focal_change,camera.pan_motion,camera.tilt_motion,camera.altitude,capture.illumination_level,capture.global_light_change_level,capture.local_light_change_level,capture.heat_haze_level,capture.humidity_level,capture.fog_level,signal_quality.picture_width,signal_quality.picture_height,signal_quality.force_balance,signal_quality.luminance_mean,signal_quality.luminance_dev,signal_quality.chrominance_U_mean,signal_quality.chrominance_U_dev,signal_quality.chrominance_V_mean,signal_quality.chrominance_V_dev,signal_quality.blur_level,signal_quality.static_noise_level,signal_quality.dynamic_noise_level,signal_quality.frame_instability,signal_quality.line_instability,signal_quality.compression_artefact_level,label_(0_if_usable_and_1_if_not)
60,0,6,3,0,0,0,1,1,0,0,0,5,6,0,0,0,2,5,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80449,0.176888,0.890008,0.843105,0,0,0.0627892,0.245059,0,0,0,0,1.2,0.842717,0.211294,0.495202,0,0,0,1280,720,0,80.8384,9.68337,136.704,4.52068,129.647,22.0295,0,0,0,0.773538,0,0,0
61,0,14,1,0,0,0,1,0,0,0,0,9,2,0,0,0,15,2,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572168,0.00352364,0.283403,0.125766,0,0,0.202636,0.286801,0,0,0,0,1.2,0.982822,0.465287,0.133919,0.0777204,0,0,1280,720,0,91.5475,63.91,143.286,23.7699,113.52,30.2651,0,0,0,0,0,0,0
62,0,11,1,0,0,0,3,7,0,0,0,13,1,0,0,0,4,2,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000464457,0.0460922,0.211454,0.148527,0,0,0.980977,0.993838,0,0,0,0,1.2,0.628815,0.00340283,0.253087,0,0,0,1280,720,0,96.7687,11.0784,131.102,8.87276,138.225,28.9815,0,0,0,0,0,0,0
63,0,2,0,0,0,0,4,7,0,0,0,10,4,0,0,0,9,1,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204776,0.00344553,0.637057,0.951399,0,0,0.895118,0.512542,0,0,0,0,1.2,0.783219,0.186749,0.0149652,0,0,0,1280,720,0,84.5366,42.0506,132.482,21.5583,139.523,29.9544,0,0,0,0,0,0,0
64,0,5,4,0,0,0,6,6,0,0,0,0,1,0,0,0,14,3,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117835,0.0827808,0.159541,0.993751,0,0,0.402951,0.978245,0,0,0,0,1.2,0.656759,0.0444873,0.253742,0,0,0,1280,720,0,119.503,88.4032,136.66,6.97807,126.291,26.7002,0,0,0,0,0,0,0
65,0,11,4,0,0,0,11,0,0,0,0,14,4,0,0,0,5,3,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169437,0.121232,0.831774,0.909642,0,0,0.315036,0.768032,0,0,0,0,1.2,0.425289,0.273005,0.507304,0,0,0.403264,1280,720,0,92.3376,67.8748,137.649,4.10422,125.001,18.621,0,0,0,0,0,0,0
66,0,15,7,0,0,0,15,3,0,0,0,8,5,0,0,0,4,2,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37998,0.000205664,0.984813,0.687843,0,0,0.846288,0.922347,0,0,0,0,1.2,0.932621,0.526199,0.688392,0.208846,0,0,1280,720,0,108.627,5.94356,132.893,13.0967,126.278,16.3969,0,0,0,0,0,0,0
67,0,6,2,0,0,0,14,4,0,0,0,3,3,0,0,0,10,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147049,0.0162558,0.184835,0.101172,0,0,0.938764,0.914415,0,0,0,0,1.2,0.378102,0.0340165,0.796489,0,0,0,1280,720,0,133.099,89.3543,142.182,22.0126,141.375,25.0462,0,0,0,0,0,0,0
68,0,0,4,0,0,0,12,4,0,0,0,15,2,0,0,0,7,7,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147477,0.0191125,0.373437,0.347305,0,0,0.621678,0.113143,0,0,0,0,1.2,0.512509,0.392794,0.752722,0,0,0,1280,720,0,125.534,44.9248,136.524,24.0928,133.515,25.2992,0,0,0,0,0,0,0
69,0,9,2,0,0,0,4,3,0,0,0,7,4,0,0,0,4,6,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212666,0.168497,0.202056,0.258955,0,0,0.489918,0.927844,0,0,0,0,1.2,0.606074,0.139169,0.20456,0,0,0,1280,720,0,91.6301,59.4417,138.057,3.37429,140.285,19.4522,0.325344,0,0.0134363,0,0,0,0
70,0,1,7,0,0,0,13,3,0,0,0,9,7,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100104,0.00141981,0.472324,0.417048,0,0,0.813979,0.392224,0,0,0,0,1.2,0.818162,0.277005,0.233512,0,0,0,1280,720,0,85.9505,87.856,125.259,31.2316,121.734,21.9987,0,0,0,0,0,0,0
71,0,14,1,0,0,0,8,1,0,0,0,4,7,0,0,0,9,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378455,0.0995762,0.165915,0.547945,0,0,0.141826,0.859888,0,0,0,0,1.2,0.616517,0.0134943,0.0751511,0,0,0,1280,720,0,114.974,79.0855,123.89,0.477794,130.013,15.9311,0,0,0,0,0,0,0
72,0,5,5,0,0,0,6,0,0,0,0,13,4,0,0,0,5,4,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.803503,0.0789277,0.446177,0.0389943,0,0,0.371719,0.844147,0,0,0,0,1.2,0.725041,0.249253,0.264394,0,0,0,1280,720,0,159.474,26.7646,119.929,31.7271,117.583,1.6557,0,0,0,0,0,0,0
73,0,0,2,0,0,0,7,0,0,0,0,11,1,0,0,0,1,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368386,0.00115376,0.30244,0.528991,0,0,0.860885,0.5819,0,0,0,0,1.2,0.608841,0.474995,0.358005,0,0,0,1280,720,0,155.744,30.5511,138.139,10.4812,113.935,5.56092,0,0,0,0,0,0,0
74,0,8,7,0,0,0,15,6,0,0,0,7,4,0,0,0,0,7,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051836,0.00140515,0.376754,0.57891,0,0,0.076349,0.533498,0,0,0,0,1.2,0.975937,0.622824,0.221789,0.418039,0,0,1280,720,0,168.036,29.9329,143.688,8.35357,137.609,4.72067,0,0,0,0,0,0.520824,0
75,0,7,1,0,0,0,2,1,0,0,0,5,6,0,0,0,14,1,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201232,0.00415324,0.327348,0.141092,0,0,0.547315,0.0287567,0,0,0,0,1.2,0.0432105,0.390108,0.0589233,0,0,0,1280,720,0,162.253,31.4441,130.018,18.0874,123.183,29.3191,0,0,0,0,0,0,0
76,0,11,3,0,0,0,10,5,0,0,0,0,6,0,0,0,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00395889,0.134125,0.330728,0.780937,0,0,0.48342,0.229384,0,0,0,0,1.2,0.657874,0.267556,0.42164,0,0,0,1280,720,0,129.142,77.102,130.28,20.7368,143.546,26.5364,0,0.365789,0,0,0,0,0
77,0,4,6,0,0,0,0,6,0,0,0,12,2,0,0,0,12,6,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69448,0.0336796,0.320253,0.135836,0,0,0.0599392,0.0186265,0,0,0,0,1.2,0.910945,0.634822,0.564402,0.825549,0,0,1280,720,0,155.273,15.364,132.626,19.1664,132.589,8.99972,0,0,0,0,0,0,0
78,0,12,3,0,0,0,11,4,0,0,0,5,7,0,0,0,15,6,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883271,0.00401263,0.277963,0.944769,0,0,0.0738607,0.334021,0,0,0,0,1.2,0.505271,0.479633,0.153024,0,0,0.511005,1280,720,0,127.528,11.3335,120.819,7.69629,128.364,1.29584,0,0,0,0,0,0,0
79,0,0,5,0,0,0,9,6,0,0,0,13,2,0,0,0,4,4,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.868059,0.00144414,0.310903,0.883628,0,0,0.836601,0.591328,0,0,0,0,1.2,0.255422,0.466381,0.0785694,0,0,0,1280,720,0,141.354,32.6493,130.785,21.9195,116.389,28.2597,0,0.483529,0,0,0,0,0
80,0,1,1,0,0,0,5,6,0,0,0,6,5,0,0,0,5,3,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223745,0.499471,0.678491,0.466552,0,0,0.563078,0.493853,0,0,0,0,1.2,0.661664,0.645417,0.00967423,0,0,0,1280,720,0,135.746,44.6048,132.771,12.0066,134.321,20.5048,0,0,0,0,0,0,0
81,0,1,0,0,0,0,11,6,0,0,0,11,0,0,0,0,14,6,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00157776,0.00705356,0.520486,0.834786,0,0,0.254244,0.548041,0,0,0,0,1.2,0.804065,0.141251,0.0818682,0,0,0,1280,720,0,118.4,29.7295,114.731,12.9882,142.59,23.3562,0,0,0,0,0,0,0
82,0,7,0,0,0,0,6,6,0,0,0,12,1,0,0,0,9,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213002,0.010953,0.488219,0.783712,0,0,0.471881,0.889669,0,0,0,0,1.2,0.918017,0.248168,0.768496,0.641982,0,0,1280,720,0,152.361,49.3709,128.683,9.98523,136.567,12.3005,0,0.119618,0,0,0,0,0
83,0,8,3,0,0,0,4,4,0,0,0,0,5,0,0,0,7,5,0,0,0,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311534,0.012617,0.804627,0.342757,0,0,0.951305,0.420817,0,0,0,0,1.2,0.76691,0.720253,0.202062,0,0,0,1280,720,0,174.637,67.6316,133.873,11.398,124.489,14.278,0,0,0,0,0,0,0
84,0,0,4,0,0,0,6,4,0,0,0,2,6,0,0,0,2,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437581,0.0114094,0.182058,0.1342,0,0,0.0177236,0.767288,0,0,0,0,1.2,0.483604,0.155179,0.214207,0,0,0,1280,720,0,136.846,72.6759,142.43,30.88,130.766,3.51787,0,0,0,0,0,0,0
85,0,2,1,0,0,0,7,7,0,0,0,9,0,0,0,0,12,3,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314156,0.301477,0.451925,0.209168,0,0,0.837219,0.0841987,0,0,0,0,1.2,0.885716,0.912368,0.242887,0,0,0,1280,720,0,159.71,42.7815,143.892,7.8881,114.379,13.5919,0,0,0,0,0,0,0
86,0,14,7,0,0,0,5,0,0,0,0,7,7,0,0,0,8,3,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248524,0.285435,0.275927,0.188857,0,0,0.972536,0.904693,0,0,0,0,1.2,0.295359,0.00133495,0.311273,0,0,0,1280,720,0,147.767,16.2741,119.894,19.5018,118.601,8.61936,0,0,0,0,0,0,0
87,0,4,4,0,0,0,13,3,0,0,0,15,3,0,0,0,6,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0568253,0.0323537,0.207937,0.93524,0,0,0.255138,0.183356,0,0,0,0,1.2,0.507022,0.340563,0.512881,0,0,0,1280,720,1,166.507,73.2163,131.767,7.93558,138.788,2.86704,0,0,0,0,0.577266,0,0
88,0,2,7,0,0,0,8,0,0,0,0,1,3,0,0,0,11,6,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709015,0.190911,0.512795,0.731488,0,0,0.358929,0.131283,0,0,0,0,1.2,0.625923,0.71214,0.287592,0,0,0,1280,720,0,165.857,35.5476,121.301,30.7584,131.256,15.4132,0,0,0,0,0,0.726953,0
89,0,14,2,0,0,0,0,3,0,0,0,5,4,0,0,0,2,5,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330221,0.197036,0.348996,0.817441,0,0,0.650741,0.577274,0,0,0,0,1.2,0.65784,0.0325962,0.305062,0,0,0,1280,720,0,124.059,57.3565,142.209,27.5894,118.268,2.13659,0,0,0,0,0,0.861873,0
90,0,5,0,0,0,0,9,6,0,0,0,15,0,0,0,0,9,5,0,0,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265149,0.034472,0.137023,0.718109,0,0,0.520171,0.0378495,0,0,0,0,1.2,0.667633,0.0772396,0.00807984,0,0,0,1280,720,0,102.995,4.72142,134.408,29.7193,122.318,18.6785,0.948676,0,0,0,0,0,0
91,0,11,3,0,0,0,11,6,0,0,0,13,5,0,0,0,15,2,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142059,0.0279429,0.848529,0.506238,0,0,0.482116,0.516101,0,0,0,0,1.2,0.979153,0.605569,0.268672,0.516818,0,0,1280,720,0,99.9687,9.79661,135.584,12.6614,118.348,21.4032,0,0.720269,0,0,0,0,0
92,0,8,6,0,0,0,5,1,0,0,0,10,2,0,0,0,9,7,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0569902,0.0579071,0.555259,0.630385,0,0,0.89651,0.969617,0,0,0,0,1.2,0.741183,0.138289,0.348116,0,0,0,1280,720,0,103.876,71.4808,133.58,12.0042,126.856,7.17068,0,0,0,0.284331,0,0,0
93,0,0,4,0,0,0,9,4,0,0,0,9,2,0,0,0,15,7,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318398,0.00818091,0.767531,0.671849,0,0,0.498706,0.737211,0,0,0,0,1.2,0.43185,0.277524,0.00545582,0,0,0,1280,720,0,89.345,57.0618,128.431,15.8655,130.735,5.89384,0,0,0,0,0,0,0
94,0,11,7,0,0,0,13,2,0,0,0,3,0,0,0,0,2,5,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136372,0.0354522,0.706894,0.266857,0,0,0.519982,0.330665,0,0,0,0,1.2,0.640343,0.00181166,0.195227,0,0,0,1280,720,0,175.137,2.4123,119.611,11.3264,118.193,5.14865,0,0,0,0,0,0,0
95,0,10,4,0,0,0,8,7,0,0,0,13,0,0,0,0,10,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00543891,0.646831,0.349175,0.605472,0,0,0.632858,0.956349,0,0,0,0,1.2,0.163133,0.0167005,0.560788,0,0,0,1280,720,0,144.564,63.6716,123.037,13.5197,126.288,7.86236,0,0,0,0,0,0,0
96,0,2,4,0,0,0,5,6,0,0,0,13,7,0,0,0,13,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404472,0.0764622,0.685732,0.0250829,0,0,0.754872,0.0451604,0,0,0,0,1.2,0.415997,0.0495988,0.000788445,0,0,0,1280,720,0,138.562,73.3646,119.597,26.2327,138.772,14.0887,0,0,0,0,0,0,0
97,0,11,5,0,0,0,5,7,0,0,0,2,5,0,0,0,8,7,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316673,0.0172629,0.139749,0.698073,0,0,0.737699,0.0333437,0,0,0,0,1.2,0.916857,0.149198,0.75412,0.799554,0,0,1280,720,0,117.305,68.548,119.639,27.0557,139.308,4.0508,0,0,0,0,0.475355,0,0
98,0,13,3,0,0,0,6,1,0,0,0,3,5,0,0,0,14,1,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200117,0.0300683,0.214403,0.898785,0,0,0.952244,0.792639,0,0,0,0,1.2,0.801204,0.148823,0.671602,0,0,0,1280,720,0,159.715,51.5818,119.432,11.8729,121.651,9.33136,0,0,0,0,0,0,0
99,0,15,6,0,0,0,3,6,0,0,0,5,2,0,0,0,6,1,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0510381,0.113502,0.208027,0.333713,0,0,0.343014,0.141964,0,0,0,0,1.2,0.257905,0.0937649,0.218295,0,0,0,1280,720,0,83.2945,63.5155,124.018,13.6105,140.358,15.7971,0,0,0,0,0,0,0
100,0,0,4,0,0,0,6,4,0,0,0,4,2,0,0,0,13,3,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538871,0.260716,0.968223,0.588988,0,0,0.0120928,0.167559,0,0,0,0,1.2,0.4827,0.337347,0.179097,0,0,0,1280,720,0,121.836,33.233,114.55,6.76079,125.975,27.5869,0,0,0,0,0,0,0
101,0,7,6,0,0,0,1,6,0,0,0,1,1,0,0,0,13,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105279,0.0276366,0.245885,0.383032,0,0,0.27179,0.632082,0,0,0,0,1.2,0.982832,0.223196,0.0443411,0.229866,0,0,1280,720,0,113.081,80.5852,136.153,21.0201,130.641,28.0418,0,0,0,0,0,0,0
102,0,5,6,0,0,0,15,7,0,0,0,8,5,0,0,0,10,5,0,0,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287037,0.0540318,0.852218,0.483596,0,0,0.451684,0.235703,0,0,0,0,1.2,0.411061,0.0038173,0.448067,0,0,0,1280,720,0,106.408,84.819,137.482,12.6827,130.855,13.2772,0,0,0,0,0,0,0
103,0,13,4,0,0,0,4,3,0,0,0,0,3,0,0,0,11,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268927,0.04796,0.0985041,0.646294,0,0,0.31425,0.371786,0,0,0,0,1.2,0.65134,0.724057,0.0821791,0,0,0,1280,720,0,147.489,28.0933,134.65,6.34483,124.969,2.69705,0,0,0,0,0,0,0
104,0,10,6,0,0,0,5,4,0,0,0,10,6,0,0,0,10,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320066,0.17651,0.645052,0.938772,0,0,0.956634,0.608137,0,0,0,0,1.2,0.435751,0.558573,0.00497247,0,0,0.684628,1280,720,0,136.424,53.9683,118.238,31.0245,133.139,6.23459,0.401511,0,0,0,0,0,0
105,0,14,2,0,0,0,1,0,0,0,0,13,3,0,0,0,13,5,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304379,0.170504,0.750047,0.294048,0,0,0.107128,0.518972,0,0,0,0,1.2,0.231503,0.0591155,0.389381,0,0,0.228186,1280,720,0,147.582,4.63471,117.64,24.6249,120.434,24.5976,0,0,0,0,0,0,0
106,0,3,6,0,0,0,4,5,0,0,0,0,7,0,0,0,11,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150504,0.0281211,0.516694,0.906664,0,0,0.193538,0.0891374,0,0,0,0,1.2,0.880916,0.0286183,0.113829,0,0,0,1280,720,0,133.774,47.6794,125.391,8.29962,127.858,18.9526,0,0,0,0,0,0,0
107,0,3,0,0,0,0,5,4,0,0,0,2,4,0,0,0,3,5,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156212,0.025937,0.279936,0.464831,0,0,0.258779,0.319845,0,0,0,0,1.2,0.840348,0.00605033,0.225193,0,0,0,1280,720,0,112.44,30.0321,131.237,23.7853,124.866,16.1107,0,0.339021,0,0,0,0,0
108,0,14,7,0,0,0,10,1,0,0,0,6,3,0,0,0,6,1,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325724,0.00711518,0.148105,0.497926,0,0,0.905192,0.705705,0,0,0,0,1.2,0.678938,0.135624,0.436684,0,0,0,1280,720,0,134.766,60.3973,136.216,28.9613,116.952,27.5269,0,0,0,0,0,0,0
109,0,5,1,0,0,0,6,6,0,0,0,6,3,0,0,0,4,7,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139717,0.00349003,0.24395,0.273211,0,0,0.911,0.50152,0,0,0,0,1.2,0.59309,0.13446,0.216085,0,0,0,1280,720,0,93.553,58.0946,113.358,11.6374,120.648,14.5302,0,0,0,0,0,0.725577,0
110,0,9,7,0,0,0,3,5,0,0,0,8,0,0,0,0,4,3,0,0,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413152,0.0265633,0.705469,0.621582,0,0,0.814997,0.408293,0,0,0,0,1.2,0.449994,0.529952,0.727227,0,0,0,1280,720,0,145.681,80.1964,133.479,21.4742,114.876,10.6834,0,0,0,0,0.0954242,0.227993,0
111,0,6,2,0,0,0,6,0,0,0,0,4,2,0,0,0,7,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484463,0.386919,0.00423939,0.675842,0,0,0.626855,0.974064,0,0,0,0,1.2,0.133904,0.0796898,0.078136,0,0,0,1280,720,0,147.105,16.2666,127.778,31.0029,120.559,7.00222,0,0,0,0,0,0,0
112,0,7,2,0,0,0,14,6,0,0,0,4,0,0,0,0,1,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157209,0.0509848,0.407077,0.73059,0,0,0.580259,0.172466,0,0,0,0,1.2,0.708611,0.704796,0.143569,0,0,0,1280,720,0,132.597,55.6412,116.712,18.4214,117.129,10.7284,0,0,0,0,0,0,0
113,0,3,0,0,0,0,14,5,0,0,0,7,3,0,0,0,13,5,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368224,0.33572,0.836097,0.621469,0,0,0.348084,0.787234,0,0,0,0,1.2,0.890452,0.269837,0.0467353,0,0,0,1280,720,1,175.858,67.6831,120.128,27.1416,134.583,26.0107,0,0,0,0,0,0,0
114,0,3,7,0,0,0,12,2,0,0,0,8,1,0,0,0,9,5,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434399,0.00055791,0.996968,0.0272071,0,0,0.815252,0.323175,0,0,0,0,1.2,0.524471,0.0924455,0.619025,0,0,0,1280,720,0,94.945,23.0109,127.963,9.48785,116.045,28.1677,0,0,0.627408,0,0,0,1
115,0,11,3,0,0,0,2,7,0,0,0,13,7,0,0,0,3,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201357,0.140481,0.350602,0.475397,0,0,0.154234,0.0568519,0,0,0,0,1.2,0.897055,0.121661,0.303276,0,0,0,1280,720,0,119.28,40.5288,117.998,7.53793,132.888,6.2817,0,0,0,0,0,0,0
116,0,4,7,0,0,0,9,0,0,0,0,5,0,0,0,0,2,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314578,0.0941816,0.0412792,0.965163,0,0,0.779415,0.0980477,0,0,0,0,1.2,0.639424,0.782892,0.0989014,0,0,0,1280,720,0,90.8438,26.0201,118.048,30.5299,143.217,25.9284,0,0,0,0,0,0,0
117,0,7,2,0,0,0,15,6,0,0,0,11,5,0,0,0,14,2,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223144,0.0678537,0.714657,0.687891,0,0,0.956535,0.11075,0,0,0,0,1.2,0.934329,0.0429997,0.0836291,0.0655677,0,0,1280,720,0,168.33,57.7905,130.413,31.2858,117.017,17.4643,0,0,0,0,0,0,0
118,0,8,2,0,0,0,10,1,0,0,0,3,7,0,0,0,3,5,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252505,0.064057,0.775557,0.188267,0,0,0.21048,0.336193,0,0,0,0,1.2,0.220553,0.320755,0.327931,0,0,0,1280,720,0,102.149,42.1759,136.963,14.5031,114.065,24.5561,0,0,0,0,0,0,0
119,0,15,7,0,0,0,6,1,0,0,0,0,4,0,0,0,2,4,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179187,0.0527504,0.402762,0.854322,0,0,0.651504,0.685825,0,0,0,0,1.2,0.686752,0.44195,0.0404126,0,0,0,1280,720,0,159.475,7.06389,120.446,25.5586,138.579,1.69239,0,0,0,0,0,0,0
120,0,5,2,0,0,0,13,3,0,0,0,0,1,0,0,0,12,4,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0842872,0.399898,0.804799,0.856531,0,0,0.377602,0.735037,0,0,0,0,1.2,0.801804,0.887437,0.034917,0,0,0,1280,720,1,113.328,72.0172,115.574,12.6259,131.605,25.849,0,0,0,0.542276,0,0,0
